Year,Actor,Film,Role(s)
,Lynn Redgrave,Georgy Girl,Georgina 'Georgy' Parkin
,Vanessa Redgrave,Morgan!,Leonie Delt
"1967
(40th)",Katharine Hepburn,Guess Who's Coming to Dinner,Christina Drayton
,Anne Bancroft,The Graduate,Mrs. Robinson
,Faye Dunaway,Bonnie and Clyde,Bonnie Parker
,Edith Evans,The Whisperers,Maggie Ross
,Audrey Hepburn,Wait Until Dark,Susy Hendrix
"1968
(41st)",Katharine Hepburn [C],The Lion in Winter,Eleanor of Aquitaine
,Barbra Streisand [C],Funny Girl,Fanny Brice
,Patricia Neal,The Subject was Roses,Nettie Cleary
,Vanessa Redgrave,Isadora,Isadora Duncan
,Joanne Woodward,"Rachel, Rachel",Rachel Cameron
"1969
(42nd)",Maggie Smith,The Prime of Miss Jean Brodie,Jean Brodie
,Geneviève Bujold,Anne of the Thousand Days,Anne Boleyn
,Jane Fonda,"They Shoot Horses, Don't They?",Gloria Beatty
,Liza Minnelli,The Sterile Cuckoo,Mary Ann 'Pookie' Adams
,Jean Simmons,The Happy Ending,Mary Wilson
"1970
(43rd)",Glenda Jackson,Women in Love,Gudrun Brangwen
,Jane Alexander,The Great White Hope,Eleanor Backman
,Ali MacGraw,Love Story,Jennifer Cavalleri-Barrett
,Sarah Miles,Ryan's Daughter,Rosy Ryan
,Carrie Snodgress,Diary of a Mad Housewife,"Bettina ""Tina"" Balser"
"1971
(44th)",Jane Fonda,Klute,Bree Daniels
,Julie Christie,McCabe & Mrs. Miller,Constance Miller
,Glenda Jackson,Sunday Bloody Sunday,Alex Greville
,Vanessa Redgrave,"Mary, Queen of Scots","Mary, Queen of Scots"
,Janet Suzman,Nicholas and Alexandra,Empress Alexandra of Russia
"1972
(45th)",Liza Minnelli,Cabaret,Sally Bowles
,Diana Ross,Lady Sings the Blues,Billie Holiday
,Maggie Smith,Travels with My Aunt,Augusta Bertram
,Cicely Tyson,Sounder,Rebecca Morgan
,Liv Ullmann,The Emigrants,Kristina Nilsson
"1973
(46th)",Glenda Jackson,A Touch of Class,Vickie Allessio
,Ellen Burstyn,The Exorcist,Chris MacNeil
,Marsha Mason,Cinderella Liberty,Maggie Paul
,Barbra Streisand,The Way We Were,Katie Morosky
,Joanne Woodward,"Summer Wishes, Winter Dreams",Rita Walden
"1974
(47th)",Ellen Burstyn,Alice Doesn't Live Here Anymore,Alice Graham-Hyatt
,Diahann Carroll,Claudine,Claudine Price
,Faye Dunaway,Chinatown,Evelyn Cross Mulwray
,Valerie Perrine,Lenny,Harriett Jolliff / Honey Bruce
,Gena Rowlands,A Woman Under the Influence,Mabel Longhetti
"1975
(48th)",Louise Fletcher,One Flew Over the Cuckoo's Nest,Nurse Mildred Ratched
,Isabelle Adjani,The Story of Adele H.,Adèle Hugo / Adèle Lewly
,Ann-Margret,Tommy,Nora Walker
,Glenda Jackson,Hedda,Hedda Gabler-Tesman
,Carol Kane,Hester Street,Gitl
"1976
(49th)",Faye Dunaway,Network,Diana Christensen
,Marie-Christine Barrault,Cousin Cousine,Marthe
,Talia Shire,Rocky,Adrian Pennino
,Sissy Spacek,Carrie,Carrie White
,Liv Ullmann,Face to Face,Jenny Isaksson
"1977
(50th)",Diane Keaton,Annie Hall,Annie Hall
,Anne Bancroft,The Turning Point,Emma Jacklin
,Jane Fonda,Julia,Lillian Hellman
,Shirley MacLaine,The Turning Point,Deedee Rodgers
,Marsha Mason,The Goodbye Girl,Paula McFadden
"1978
(51st)",Jane Fonda,Coming Home,Sally Hyde
,Ingrid Bergman,Autumn Sonata,Charlotte Andergast
,Ellen Burstyn,"Same Time, Next Year",Doris
,Jill Clayburgh,An Unmarried Woman,Erica Benton
,Geraldine Page,Interiors,Eve
"1979
(52nd)",Sally Field,Norma Rae,Norma Rae Webster
,Jill Clayburgh,Starting Over,Marilyn Holmberg
,Jane Fonda,The China Syndrome,Kimberly Wells
,Marsha Mason,Chapter Two,Jennie MacLaine
,Bette Midler,The Rose,Mary Rose Foster
"1980
(53rd)",Sissy Spacek,Coal Miner's Daughter,Loretta Lynn
,Ellen Burstyn,Resurrection,Edna Mae Harper-McCauley
,Goldie Hawn,Private Benjamin,Judy Benjamin
,Mary Tyler Moore,Ordinary People,Beth Jarrett
,Gena Rowlands,Gloria,Gloria Swenson
"1981
(54th)",Katharine Hepburn,On Golden Pond,Ethel Thayer
,Diane Keaton,Reds,Louise Bryant
,Marsha Mason,Only When I Laugh,Georgia Hines
,Susan Sarandon,Atlantic City,Sally Matthews
,Meryl Streep,The French Lieutenant's Woman,Anna / Sara Woodruff
"1982
(55th)",Meryl Streep,Sophie's Choice,Sophie Zawistowski
,Julie Andrews,Victor Victoria,Victor Grazinski / Victoria Grant
,Jessica Lange,Frances,Frances Farmer
,Sissy Spacek,Missing,Beth Horman
,Debra Winger,An Officer and a Gentleman,Paula Pokrifki
"1983
(56th)",Shirley MacLaine,Terms of Endearment,Aurora Greenway
,Jane Alexander,Testament,Carol Wetherly
,Meryl Streep,Silkwood,Karen Silkwood
,Julie Walters,Educating Rita,Susan White / Rita
,Debra Winger,Terms of Endearment,Emma Greenway Horton
"1984
(57th)",Sally Field,Places in the Heart,Edna Spalding
,Judy Davis,A Passage to India,Adela Quested
,Jessica Lange,Country,Jewell Ivy
,Vanessa Redgrave,The Bostonians,Olive Chancellor
,Sissy Spacek,The River,Mae Garvey
"1985
(58th)",Geraldine Page,The Trip to Bountiful,Carrie Watts
,Anne Bancroft,Agnes of God,Miriam Ruth/Anna Maria Burchetti
,Whoopi Goldberg,The Color Purple,Celie Harris-Johnson
,Jessica Lange,Sweet Dreams,Patsy Cline
,Meryl Streep,Out of Africa,Karen Blixen
"1986
(59th)",Marlee Matlin,Children of a Lesser God,Sarah Norman
,Jane Fonda,The Morning After,Alex Sternbergen/Viveca Van Loren
,Sissy Spacek,Crimes of the Heart,Babe Botrelle/Rebecca MaGrath
,Kathleen Turner,Peggy Sue Got Married,Peggy Sue Kelcher-Bodell
,Sigourney Weaver,Aliens,Ellen Ripley
"1987
(60th)",Cher,Moonstruck,Loretta Castorini
,Glenn Close,Fatal Attraction,Alex Forrest
,Holly Hunter,Broadcast News,Jane Craig
,Sally Kirkland,Anna,Anna
,Meryl Streep,Ironweed,Helen Archer
"1988
(61st)",Jodie Foster,The Accused,Sarah Tobias
,Glenn Close,Dangerous Liaisons,Marquise Isabelle de Merteuil
,Melanie Griffith,Working Girl,Tess McGill
,Meryl Streep,A Cry in the Dark,Lindy Chamberlain
,Sigourney Weaver,Gorillas in the Mist,Dian Fossey
"1989
(62nd)",Jessica Tandy,Driving Miss Daisy,Daisy Werthan
,Isabelle Adjani,Camille Claudel,Camille Claudel
,Pauline Collins,Shirley Valentine,Shirley Valentine-Bradshaw
,Jessica Lange,Music Box,Ann Talbot
,Michelle Pfeiffer,The Fabulous Baker Boys,Susie Diamond
"1990
(63rd)",Kathy Bates,Misery,Annie Wilkes
,Anjelica Huston,The Grifters,Lilly Dillon
,Julia Roberts,Pretty Woman,Vivian Ward
,Meryl Streep,Postcards from the Edge,Suzanne Vale
,Joanne Woodward,Mr. & Mrs. Bridge,India Bridge
"1991
(64th)",Jodie Foster,The Silence of the Lambs,Clarice Starling
,Geena Davis,Thelma & Louise,Thelma Dickinson
,Laura Dern,Rambling Rose,Rose
,Bette Midler,For the Boys,Dixie Leonard
,Susan Sarandon,Thelma & Louise,Louise Sawyer
"1992
(65th)",Emma Thompson,Howards End,Margaret Schlegel
,Catherine Deneuve,Indochine,Eliane Devries
,Mary McDonnell,Passion Fish,May-Alice Culhane
,Michelle Pfeiffer,Love Field,"Louise Irene ""Lurene"" Hallett"
,Susan Sarandon,Lorenzo's Oil,Michaela Murphy Odone
"1993
(66th)",Holly Hunter,The Piano,Ada McGrath
,Angela Bassett,What's Love Got to Do with It,Anna Mae Bullock / Tina Turner
,Stockard Channing,Six Degrees of Separation,"Louisa ""Ouisa"" Kittredge"
,Emma Thompson,The Remains of the Day,"Sarah ""Sally"" Kenton"
,Debra Winger,Shadowlands,Joy Davidman
"1994
(67th)",Jessica Lange,Blue Sky,Carly Marshall
,Jodie Foster,Nell,Nell Kellty
,Miranda Richardson,Tom & Viv,Vivienne Haigh-Wood
,Winona Ryder,Little Women,"Josephine ""Jo"" March"
,Susan Sarandon,The Client,"Regina ""Reggie"" Love"
"1995
(68th)",Susan Sarandon,Dead Man Walking,Helen Prejean
,Elisabeth Shue,Leaving Las Vegas,Sera
,Sharon Stone,Casino,Ginger McKenna
,Meryl Streep,The Bridges of Madison County,Francesca Johnson
,Emma Thompson,Sense and Sensibility,Elinor Dashwood
"1996
(69th)",Frances McDormand,Fargo,Marge Gunderson
,Brenda Blethyn,Secrets & Lies,Cynthia Rose Purley
,Diane Keaton,Marvin's Room,Bessie Wakefield
,Kristin Scott Thomas,The English Patient,Katharine Clifton
,Emily Watson,Breaking the Waves,Bess McNeill
"1997
(70th)",Helen Hunt,As Good as It Gets,Carol Connelly
,Helena Bonham Carter,The Wings of the Dove,Kate Croy
,Julie Christie,Afterglow,Phyllis Hart
,Judi Dench,Mrs Brown,Queen Victoria
,Kate Winslet,Titanic,Rose DeWitt Bukater
"1998
(71st)",Gwyneth Paltrow,Shakespeare in Love,Viola de Lesseps/Thomas Kent
,Cate Blanchett,Elizabeth,Queen Elizabeth I
,Fernanda Montenegro,Central Station,"Isadora ""Dora"" Teixeira"
,Meryl Streep,One True Thing,Kate Gulden
,Emily Watson,Hilary and Jackie,Jacqueline du Pré
"1999
(72nd)",Hilary Swank,Boys Don't Cry,Brandon Teena
,Annette Bening,American Beauty,Carolyn Burnham
,Janet McTeer,Tumbleweeds,Mary Jo Walker
,Julianne Moore,The End of the Affair,Sarah Miles
,Meryl Streep,Music of the Heart,Roberta Guaspari
"2000
(73rd)",Julia Roberts,Erin Brockovich,Erin Brockovich
,Joan Allen,The Contender,Laine Hanson
,Juliette Binoche,Chocolat,Vianne Rocher
,Ellen Burstyn,Requiem for a Dream,Sara Goldfarb
,Laura Linney,You Can Count on Me,"Samantha ""Sammy"" Prescott"
"2001
(74th)",Halle Berry,Monster's Ball,Leticia Musgrove
,Judi Dench,Iris,Iris Murdoch
,Nicole Kidman,Moulin Rouge!,Satine
,Sissy Spacek,In the Bedroom,Ruth Fowler
,Renée Zellweger,Bridget Jones's Diary,Bridget Jones
"2002
(75th)",Nicole Kidman,The Hours,Virginia Woolf
,Salma Hayek,Frida,Frida Kahlo
,Diane Lane,Unfaithful,Constance 'Connie' Sumner
,Julianne Moore,Far from Heaven,Cathy Whitaker
,Renée Zellweger,Chicago,Roxie Hart
"2003
(76th)",Charlize Theron,Monster,Aileen Wuornos
,Keisha Castle-Hughes,Whale Rider,Paikea Apirana
,Diane Keaton,Something's Gotta Give,Erica Jane Berry
,Samantha Morton,In America,Sarah Sullivan
,Naomi Watts,21 Grams,Cristina Williams-Peck
"2004
(77th)",Hilary Swank,Million Dollar Baby,Maggie Fitzgerald
,Annette Bening,Being Julia,Julia Lambert
,Catalina Sandino Moreno,Maria Full of Grace,María Álvarez
,Imelda Staunton,Vera Drake,Vera Rose Drake
,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clementine Kruczynski
"2005
(78th)",Reese Witherspoon,Walk the Line,June Carter Cash
,Judi Dench,Mrs Henderson Presents,Laura Forster-Henderson
,Felicity Huffman,Transamerica,"Sabrina ""Bree"" Osbourne"
,Keira Knightley,Pride & Prejudice,Elizabeth Bennet
,Charlize Theron,North Country,Josey Aimes
"2006
(79th)",Helen Mirren,The Queen,Queen Elizabeth II
,Penélope Cruz,Volver,Raimunda
,Judi Dench,Notes on a Scandal,Barbara Covett
,Meryl Streep,The Devil Wears Prada,Miranda Priestly
,Kate Winslet,Little Children,Sarah Pierce
"2007
(80th)",Marion Cotillard,La Vie en rose,Édith Piaf
,Cate Blanchett,Elizabeth: The Golden Age,Queen Elizabeth I
,Julie Christie,Away from Her,Fiona Anderson
,Laura Linney,The Savages,Wendy Savage
,Ellen Page,Juno,Juno MacGuff
"2008
(81st)",Kate Winslet,The Reader,Hanna Schmitz
,Anne Hathaway,Rachel Getting Married,Kym Buchman
,Angelina Jolie,Changeling,Christine Collins
,Melissa Leo,Frozen River,Ray Eddy
,Meryl Streep,Doubt,Aloysius Beauvier
"2009
(82nd)",Sandra Bullock,The Blind Side,Leigh Anne Tuohy
,Helen Mirren,The Last Station,Sophia Tolstaya
,Carey Mulligan,An Education,Jenny Mellor
,Gabourey Sidibe,Precious,"Claireece ""Precious"" Jones"
,Meryl Streep,Julie & Julia,Julia Child
"2010
(83rd)",Natalie Portman,Black Swan,Nina Sayers
,Annette Bening,The Kids Are All Right,Nicole Allgood
,Nicole Kidman,Rabbit Hole,Becca Corbett
,Jennifer Lawrence,Winter's Bone,Ree Dolly
,Michelle Williams,Blue Valentine,Cindy Heller
"2011
(84th)",Meryl Streep,The Iron Lady,Margaret Thatcher
,Glenn Close,Albert Nobbs,Albert Nobbs
,Viola Davis,The Help,Aibileen Clark
,Rooney Mara,The Girl with the Dragon Tattoo,Lisbeth Salander
,Michelle Williams,My Week with Marilyn,Marilyn Monroe
"2012
(85th)",Jennifer Lawrence,Silver Linings Playbook,Tiffany Maxwell
,Jessica Chastain,Zero Dark Thirty,Maya
,Emmanuelle Riva,Amour,Anne Laurent
,Quvenzhané Wallis,Beasts of the Southern Wild,Hushpuppy
,Naomi Watts,The Impossible,Maria Bennett
"2013
(86th)",Cate Blanchett,Blue Jasmine,"Jeanette ""Jasmine"" Francis"
,Amy Adams,American Hustle,Sydney Prosser / Lady Edith Greensly
,Sandra Bullock,Gravity,Ryan Stone
,Judi Dench,Philomena,Philomena Lee
,Meryl Streep,August: Osage County,Violet Weston
"2014
(87th)",Julianne Moore,Still Alice,Alice Daly-Howland
,Marion Cotillard,"Two Days, One Night",Sandra Bya
,Felicity Jones,The Theory of Everything,Jane Wilde-Hawking
,Rosamund Pike,Gone Girl,Amy Elliott-Dunne
,Reese Witherspoon,Wild,Cheryl Strayed
"2015
(88th)",Brie Larson,Room,Joy Newsome
,Cate Blanchett,Carol,Carol Aird
,Jennifer Lawrence,Joy,Joy Mangano
,Charlotte Rampling,45 Years,Kate Mercer
,Saoirse Ronan,Brooklyn,Eilis Lacey
"2016
(89th)",Isabelle Huppert,Elle,Michèle Leblanc
,Ruth Negga,Loving,Mildred Loving
,Natalie Portman,Jackie,Jackie Kennedy
,Emma Stone,La La Land,Mia Dolan
,Meryl Streep,Florence Foster Jenkins,Florence Foster Jenkins
