Year,Actor,Film,Role(s)
,Michael Caine,The Quiet American,Thomas Fowler
,Daniel Day-Lewis,Gangs of New York,"William ""Bill the Butcher"" Cutting"
,Jack Nicholson,About Schmidt,Warren R. Schmidt
"2003
(76th)",Sean Penn,Mystic River,Jimmy Markum
,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Jack Sparrow
,Ben Kingsley,House of Sand and Fog,Massoud Amir Behrani
,Jude Law,Cold Mountain,W. P. Inman
,Bill Murray,Lost in Translation,Bob Harris
"2004
(77th)",Jamie Foxx,Ray,Ray Charles
,Don Cheadle,Hotel Rwanda,Paul Rusesabagina
,Johnny Depp,Finding Neverland,J. M. Barrie
,Leonardo DiCaprio,The Aviator,Howard Hughes
,Clint Eastwood,Million Dollar Baby,Frankie Dunn
"2005
(78th)",Philip Seymour Hoffman,Capote,Truman Capote
,Terrence Howard,Hustle & Flow,Djay
,Heath Ledger,Brokeback Mountain,Ennis Del Mar
,Joaquin Phoenix,Walk the Line,Johnny Cash
,David Strathairn,"Good Night, and Good Luck",Edward R. Murrow
"2006
(79th)",Forest Whitaker,The Last King of Scotland,Idi Amin
,Leonardo DiCaprio,Blood Diamond,Danny Archer
,Ryan Gosling,Half Nelson,Dan Dunne
,Peter O'Toole,Venus,Maurice
,Will Smith,The Pursuit of Happyness,Chris Gardner
"2007
(80th)",Daniel Day-Lewis,There Will Be Blood,Daniel Plainview
,George Clooney,Michael Clayton,Michael Clayton
,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd / Benjamin Barker
,Tommy Lee Jones,In the Valley of Elah,Hank Deerfield
,Viggo Mortensen,Eastern Promises,Nikolai Luzhin
"2008
(81st)",Sean Penn,Milk,Harvey Milk
,Richard Jenkins,The Visitor,Walter Vale
,Frank Langella,Frost/Nixon,Richard Nixon
,Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button
,Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson"
"2009
(82nd)",Jeff Bridges,Crazy Heart,"Otis ""Bad"" Blake"
,George Clooney,Up in the Air,Ryan Bingham
,Colin Firth,A Single Man,George Falconer
,Morgan Freeman,Invictus,Nelson Mandela
,Jeremy Renner,The Hurt Locker,SFC William James
"2010
(83rd)",Colin Firth,The King's Speech,King George VI
,Javier Bardem,Biutiful,Uxbal
,Jeff Bridges,True Grit,"Reuben ""Rooster"" Cogburn"
,Jesse Eisenberg,The Social Network,Mark Zuckerberg
,James Franco,127 Hours,Aron Ralston
"2011
(84th)",Jean Dujardin,The Artist,George Valentin
,Demián Bichir,A Better Life,Carlos Galindo
,George Clooney,The Descendants,Matthew King
,Gary Oldman,Tinker Tailor Soldier Spy,George Smiley
,Brad Pitt,Moneyball,Billy Beane
"2012
(85th)",Daniel Day-Lewis,Lincoln,Abraham Lincoln
,Bradley Cooper,Silver Linings Playbook,"Patrizio ""Pat"" Solitano Jr."
,Hugh Jackman,Les Misérables,Jean Valjean
,Joaquin Phoenix,The Master,Freddie Quell
,Denzel Washington,Flight,"William ""Whip"" Whitaker, Sr."
"2013
(86th)",Matthew McConaughey,Dallas Buyers Club,Ron Woodroof
,Christian Bale,American Hustle,Irving Rosenfeld
,Bruce Dern,Nebraska,"Woodrow ""Woody"" Grant"
,Leonardo DiCaprio,The Wolf of Wall Street,Jordan Belfort
,Chiwetel Ejiofor,12 Years a Slave,Solomon Northup
"2014
(87th)",Eddie Redmayne,The Theory of Everything,Stephen Hawking
,Steve Carell,Foxcatcher,John du Pont
,Bradley Cooper,American Sniper,Chris Kyle
,Benedict Cumberbatch,The Imitation Game,Alan Turing
,Michael Keaton,Birdman,Riggan Thomson
"2015
(88th)",Leonardo DiCaprio,The Revenant,Hugh Glass
,Bryan Cranston,Trumbo,Dalton Trumbo
,Matt Damon,The Martian,Mark Watney
,Michael Fassbender,Steve Jobs,Steve Jobs
,Eddie Redmayne,The Danish Girl,Lili Elbe
"2016
(89th)",Casey Affleck,Manchester by the Sea,Lee Chandler
,Andrew Garfield,Hacksaw Ridge,Desmond T. Doss
,Ryan Gosling,La La Land,Sebastian Wilder
,Viggo Mortensen,Captain Fantastic,Ben Cash
,Denzel Washington,Fences,Troy Maxson
"1936
(9th)",Walter Brennan,Come and Get It,Swan Bostrom
,Mischa Auer,My Man Godfrey,Carlo
,Stuart Erwin,Pigskin Parade,Amos Dodd
,Basil Rathbone,Romeo and Juliet,Tybalt – Nephew to Lady Capulet
,Akim Tamiroff,The General Died at Dawn,General Yang
"1937
(10th)",Joseph Schildkraut,The Life of Emile Zola,Capt. Alfred Dreyfus
,Ralph Bellamy,The Awful Truth,Dan Leeson
,Thomas Mitchell,The Hurricane,Dr. Kersaint
,H. B. Warner,Lost Horizon,Chang
,Roland Young,Topper,Cosmo Topper
"1938
(11th)",Walter Brennan,Kentucky,Peter Goodwin
,John Garfield,Four Daughters,Mickey Borden
,Gene Lockhart,Algiers,Regis
,Robert Morley,Marie Antoinette,King Louis XVI
,Basil Rathbone,If I Were King,King Louis XI
"1939
(12th)",Thomas Mitchell,Stagecoach,Dr. Josiah Boone
,Brian Aherne,Juarez,Emperor Maximilian von Habsburg
,Harry Carey,Mr. Smith Goes to Washington,President of the Senate
,Brian Donlevy,Beau Geste,Sgt. Markoff
,Claude Rains,Mr. Smith Goes to Washington,Sen. Joseph Harrison Paine
"1940
(13th)",Walter Brennan,The Westerner,Judge Roy Bean
,Albert Bassermann,Foreign Correspondent,Van Meer
,William Gargan,They Knew What They Wanted,Joe
,Jack Oakie,The Great Dictator,Benzini Napaloni (Dictator of Bacteria)
,James Stephenson,The Letter,Howard Joyce
"1941
(14th)",Donald Crisp,How Green Was My Valley,Gwilym Morgan
,Walter Brennan,Sergeant York,Pastor Rosier Pile
,Charles Coburn,The Devil and Miss Jones,John P. Merrick
,James Gleason,Here Comes Mr. Jordan,Max Corkle
,Sydney Greenstreet,The Maltese Falcon,Kasper Gutman
"1942
(15th)",Van Heflin,Johnny Eager,Jeff Hartnett
,William Bendix,Wake Island,"Pvt. Aloysius ""Smacksie"" Randall"
